# pulsewidth	time	voltage
2e-05	0.0008361800906	0.523708672
2e-05	0.0008362200906	0.5202824532
2e-05	0.0008362600906	0.5113239912
2e-05	0.0008363000906	0.5204710524
2e-05	0.0008363400906	0.5295080974
2e-05	0.0008363800906	0.5384194096
2e-05	0.0008364200906	0.5252174656
2e-05	0.0008364600906	0.52260851
2e-05	0.0008365000906	0.527794988
2e-05	0.0008365400906	0.5212883156
2e-05	0.0008365800906	0.5291937654
2e-05	0.0008366200906	0.5340501948
2e-05	0.0008366600906	0.518286445
2e-05	0.0008367000906	0.527480656
2e-05	0.0008367400906	0.5244787854
2e-05	0.0008367800906	0.5249031336
2e-05	0.0008368200906	0.5257203968
2e-05	0.0008368600906	0.5243687692
2e-05	0.0008369000906	0.5256889636
2e-05	0.0008369400906	0.511213975
2e-05	0.0008369800906	0.523315757
2e-05	0.0008370200906	0.5140115298
2e-05	0.0008370600906	0.5135085986
2e-05	0.0008371000906	0.5174377486
2e-05	0.0008371400906	0.5207853844
2e-05	0.0008371800906	0.5216812306
2e-05	0.0008372200906	0.5160704044
2e-05	0.0008372600906	0.510978226
2e-05	0.0008373000906	0.5288008504
2e-05	0.0008373400906	0.5260032956
2e-05	0.0008373800906	0.514985959
2e-05	0.0008374200906	0.510113813
2e-05	0.0008374600906	0.5245259352
2e-05	0.0008375000906	0.518915109
2e-05	0.0008375400906	0.5131942666
2e-05	0.0008375800906	0.5179092466
2e-05	0.0008376200906	0.5163061534
2e-05	0.0008376600906	0.5254532146
2e-05	0.0008377000906	0.514357295
2e-05	0.0008377400906	0.5271348908
2e-05	0.0008377800906	0.5239758542
2e-05	0.0008378200906	0.5202353034
2e-05	0.0008378600906	0.5131156836
2e-05	0.0008379000906	0.5197323722
2e-05	0.0008379400906	0.5129270844
2e-05	0.0008379800906	0.5382936768
2e-05	0.0008380200906	0.509956647
2e-05	0.0008380600906	0.5160389712
2e-05	0.0008381000906	0.510585311
2e-05	0.0008381400906	0.5199995544
2e-05	0.0008381800906	0.523551506
2e-05	0.0008382200906	0.5215554978
2e-05	0.0008382600906	0.5292251986
2e-05	0.0008383000906	0.5203610362
2e-05	0.0008383400906	0.514514461
2e-05	0.0008383800906	0.5245573684
2e-05	0.0008384200906	0.5264276438
2e-05	0.0008384600906	0.5219955626
2e-05	0.0008385000906	0.5154888902
2e-05	0.0008385400906	0.5286436844
2e-05	0.0008385800906	0.5284550852
2e-05	0.0008386200906	0.5214454816
2e-05	0.0008386600906	0.5209739836
2e-05	0.0008387000906	0.5210525666
2e-05	0.0008387400906	0.5109310762
2e-05	0.0008387800906	0.5237401052
2e-05	0.0008388200906	0.518129279
2e-05	0.0008388600906	0.527009158
2e-05	0.0008389000906	0.5285336682
2e-05	0.0008389400906	0.5211311496
2e-05	0.0008389800906	0.5188679592
2e-05	0.0008390200906	0.522372761
2e-05	0.0008390600906	0.5282507694
2e-05	0.0008391000906	0.5219955626
2e-05	0.0008391400906	0.5231900242
2e-05	0.0008391800906	0.5210997164
2e-05	0.0008392200906	0.5228128258
2e-05	0.0008392600906	0.5284079354
2e-05	0.0008393000906	0.5103181288
2e-05	0.0008393400906	0.5258775628
2e-05	0.0008393800906	0.5263490608
2e-05	0.0008394200906	0.5206282184
2e-05	0.0008394600906	0.5180192628
2e-05	0.0008395000906	0.5265062268
2e-05	0.0008395400906	0.5309854578
2e-05	0.0008395800906	0.5230485748
2e-05	0.0008396200906	0.5255632308
2e-05	0.0008396600906	0.5215240646
2e-05	0.0008397000906	0.5208168176
2e-05	0.0008397400906	0.5131942666
2e-05	0.0008397800906	0.5251074494
2e-05	0.0008398200906	0.515221708
2e-05	0.0008398600906	0.5281721864
2e-05	0.0008399000906	0.527716405
2e-05	0.0008399400906	0.5246831012
2e-05	0.0008399800906	0.5289580164
2e-05	0.0008400200906	0.527402073
2e-05	0.0008400600906	0.5212568824
2e-05	0.0008401000906	0.5232686072
2e-05	0.0008401400906	0.5237401052
2e-05	0.0008401800906	0.5335472636
2e-05	0.0008402200906	0.5219484128
2e-05	0.0008402600906	0.522687093
2e-05	0.0008403000906	0.5248245506
2e-05	0.0008403400906	0.527716405
2e-05	0.0008403800906	0.523630089
2e-05	0.0008404200906	0.5171705664
2e-05	0.0008404600906	0.5136971978
2e-05	0.0008405000906	0.5198423884
2e-05	0.0008405400906	0.5206596516
2e-05	0.0008405800906	0.5216026476
2e-05	0.0008406200906	0.5239758542
2e-05	0.0008406600906	0.5240544372
2e-05	0.0008407000906	0.5230485748
2e-05	0.0008407400906	0.5217598136
2e-05	0.0008407800906	0.5218698298
2e-05	0.0008408200906	0.511292558
2e-05	0.0008408600906	0.528030737
2e-05	0.0008409000906	0.515457457
